IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.219.152.69,443,true,SIN,Asia Pacific,Singapore,58,6.61
8.219.174.81,443,true,SIN,Asia Pacific,Singapore,61,6.49
8.222.170.92,443,true,SIN,Asia Pacific,Singapore,64,6.35
8.219.201.199,443,true,SIN,Asia Pacific,Singapore,63,6.35
8.219.201.133,443,true,SIN,Asia Pacific,Singapore,65,6.29
8.219.212.99,443,true,SIN,Asia Pacific,Singapore,65,6.22
8.218.208.194,443,true,HKG,Asia Pacific,Hong Kong,31,6.03
8.219.157.163,443,true,SIN,Asia Pacific,Singapore,67,5.86
8.219.233.135,443,true,SIN,Asia Pacific,Singapore,61,5.83
8.219.146.94,443,true,SIN,Asia Pacific,Singapore,72,5.73
8.219.181.184,443,true,SIN,Asia Pacific,Singapore,67,5.73
8.222.166.116,443,true,SIN,Asia Pacific,Singapore,67,5.72
8.219.216.162,443,true,SIN,Asia Pacific,Singapore,70,5.71
23.106.140.129,443,true,KIX,Asia Pacific,Osaka,47,5.70
8.219.160.35,443,true,SIN,Asia Pacific,Singapore,67,5.66
8.219.172.84,443,true,SIN,Asia Pacific,Singapore,61,5.65
8.219.132.29,443,true,SIN,Asia Pacific,Singapore,70,5.59
8.219.205.185,443,true,SIN,Asia Pacific,Singapore,63,5.55
47.245.103.50,443,true,SIN,Asia Pacific,Singapore,71,5.53
8.219.129.78,443,true,SIN,Asia Pacific,Singapore,70,5.52
8.219.175.8,443,true,SIN,Asia Pacific,Singapore,65,5.51
8.222.157.24,443,true,SIN,Asia Pacific,Singapore,69,5.45
8.219.240.212,443,true,SIN,Asia Pacific,Singapore,78,5.45
8.219.220.45,443,true,SIN,Asia Pacific,Singapore,61,5.37
8.222.184.250,443,true,SIN,Asia Pacific,Singapore,65,5.33
8.219.173.59,443,true,SIN,Asia Pacific,Singapore,65,5.32
8.219.163.23,443,true,SIN,Asia Pacific,Singapore,69,5.30
8.222.167.98,443,true,SIN,Asia Pacific,Singapore,67,5.30
8.219.171.194,443,true,SIN,Asia Pacific,Singapore,63,5.29
8.219.195.233,443,true,SIN,Asia Pacific,Singapore,68,5.28
8.219.207.51,443,true,SIN,Asia Pacific,Singapore,66,5.27
54.255.206.197,443,true,SIN,Asia Pacific,Singapore,65,5.27
47.245.110.168,443,true,SIN,Asia Pacific,Singapore,62,5.27
8.219.215.199,443,true,SIN,Asia Pacific,Singapore,76,5.24
146.56.44.50,443,true,ICN,Asia Pacific,Seoul,80,5.22
8.219.190.178,443,true,SIN,Asia Pacific,Singapore,66,5.21
64.110.71.16,443,true,ICN,Asia Pacific,Seoul,102,5.19
8.219.214.153,443,true,SIN,Asia Pacific,Singapore,73,5.16
8.219.143.208,443,true,SIN,Asia Pacific,Singapore,64,5.14
8.219.135.163,443,true,SIN,Asia Pacific,Singapore,79,5.13
8.222.152.140,443,true,SIN,Asia Pacific,Singapore,63,5.09
8.219.220.40,443,true,SIN,Asia Pacific,Singapore,64,5.08
8.219.180.25,443,true,SIN,Asia Pacific,Singapore,66,5.05
8.219.206.141,443,true,SIN,Asia Pacific,Singapore,66,5.02
8.219.162.87,443,true,SIN,Asia Pacific,Singapore,68,5.01
8.219.203.95,443,true,SIN,Asia Pacific,Singapore,70,5.00
8.219.240.119,443,true,SIN,Asia Pacific,Singapore,64,4.98
47.236.122.88,443,true,SIN,Asia Pacific,Singapore,65,4.95
192.243.127.102,443,true,KIX,Asia Pacific,Osaka,43,4.94
