IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.218.208.194,443,true,HKG,Asia Pacific,Hong Kong,32,8.01
8.222.181.67,443,true,SIN,Asia Pacific,Singapore,64,7.71
8.222.144.225,443,true,SIN,Asia Pacific,Singapore,72,7.70
8.222.143.175,443,true,SIN,Asia Pacific,Singapore,62,7.66
8.219.162.33,443,true,SIN,Asia Pacific,Singapore,74,7.64
8.219.219.79,443,true,SIN,Asia Pacific,Singapore,67,7.61
8.222.150.244,443,true,SIN,Asia Pacific,Singapore,64,7.61
8.222.167.74,443,true,SIN,Asia Pacific,Singapore,59,7.52
8.219.197.14,443,true,SIN,Asia Pacific,Singapore,62,7.42
8.222.184.107,443,true,SIN,Asia Pacific,Singapore,63,7.39
8.219.186.103,443,true,SIN,Asia Pacific,Singapore,68,7.38
8.219.240.90,443,true,SIN,Asia Pacific,Singapore,71,7.34
8.222.187.227,443,true,SIN,Asia Pacific,Singapore,70,7.29
8.222.154.230,443,true,SIN,Asia Pacific,Singapore,64,7.28
8.219.148.66,443,true,SIN,Asia Pacific,Singapore,70,7.22
8.219.146.216,443,true,SIN,Asia Pacific,Singapore,65,7.13
8.219.229.221,443,true,SIN,Asia Pacific,Singapore,65,7.11
8.222.166.42,443,true,SIN,Asia Pacific,Singapore,71,7.10
47.245.117.109,443,true,SIN,Asia Pacific,Singapore,66,7.10
8.222.133.46,443,true,SIN,Asia Pacific,Singapore,65,7.09
47.245.109.255,443,true,SIN,Asia Pacific,Singapore,71,7.05
8.219.194.153,443,true,SIN,Asia Pacific,Singapore,67,7.03
8.222.184.128,443,true,SIN,Asia Pacific,Singapore,65,7.02
8.219.151.107,443,true,SIN,Asia Pacific,Singapore,60,6.98
8.219.238.32,443,true,SIN,Asia Pacific,Singapore,66,6.96
8.222.159.211,443,true,SIN,Asia Pacific,Singapore,66,6.94
8.219.178.104,443,true,SIN,Asia Pacific,Singapore,68,6.94
8.222.179.202,443,true,SIN,Asia Pacific,Singapore,74,6.92
8.222.162.59,443,true,SIN,Asia Pacific,Singapore,70,6.91
47.236.100.238,443,true,SIN,Asia Pacific,Singapore,62,6.90
8.219.151.192,443,true,SIN,Asia Pacific,Singapore,67,6.89
8.222.186.190,443,true,SIN,Asia Pacific,Singapore,72,6.88
47.245.107.225,443,true,SIN,Asia Pacific,Singapore,75,6.87
8.219.232.129,443,true,SIN,Asia Pacific,Singapore,64,6.86
47.245.122.184,443,true,SIN,Asia Pacific,Singapore,74,6.82
8.219.191.192,443,true,SIN,Asia Pacific,Singapore,67,6.81
8.219.133.65,443,true,SIN,Asia Pacific,Singapore,72,6.78
8.219.208.14,443,true,SIN,Asia Pacific,Singapore,62,6.75
8.219.205.248,443,true,SIN,Asia Pacific,Singapore,71,6.73
8.219.145.46,443,true,SIN,Asia Pacific,Singapore,74,6.68
8.219.192.170,443,true,SIN,Asia Pacific,Singapore,69,6.68
8.219.210.20,443,true,SIN,Asia Pacific,Singapore,69,6.67
8.222.180.187,443,true,SIN,Asia Pacific,Singapore,67,6.58
8.222.165.120,443,true,SIN,Asia Pacific,Singapore,69,6.53
8.219.201.145,443,true,SIN,Asia Pacific,Singapore,74,6.51
8.219.147.20,443,true,SIN,Asia Pacific,Singapore,59,6.50
146.56.181.173,443,true,ICN,Asia Pacific,Seoul,65,6.47
8.219.234.20,443,true,SIN,Asia Pacific,Singapore,63,6.47
8.219.190.2,443,true,SIN,Asia Pacific,Singapore,68,6.44
217.142.132.21,443,true,ICN,Asia Pacific,Seoul,87,6.44
8.219.156.119,443,true,SIN,Asia Pacific,Singapore,62,6.42
8.219.229.25,443,true,SIN,Asia Pacific,Singapore,71,6.39
38.47.127.45,443,true,NRT,Asia Pacific,Tokyo,38,6.38
141.98.196.223,443,true,NRT,Asia Pacific,Tokyo,42,6.34
8.219.133.8,443,true,SIN,Asia Pacific,Singapore,73,6.34
8.219.208.76,443,true,SIN,Asia Pacific,Singapore,74,6.33
8.219.188.2,443,true,SIN,Asia Pacific,Singapore,60,6.29
8.219.166.236,443,true,SIN,Asia Pacific,Singapore,69,6.19
47.245.125.199,443,true,SIN,Asia Pacific,Singapore,65,6.18
8.219.142.68,443,true,SIN,Asia Pacific,Singapore,65,6.16
8.219.181.254,443,true,SIN,Asia Pacific,Singapore,70,6.12
193.122.108.176,443,true,ICN,Asia Pacific,Seoul,65,6.11
8.219.222.140,443,true,SIN,Asia Pacific,Singapore,68,6.11
8.219.141.205,443,true,SIN,Asia Pacific,Singapore,62,6.09
8.219.172.227,443,true,SIN,Asia Pacific,Singapore,66,6.05
8.222.148.240,443,true,SIN,Asia Pacific,Singapore,68,6.03
47.236.15.184,443,true,SIN,Asia Pacific,Singapore,68,6.00
146.56.47.185,443,true,ICN,Asia Pacific,Seoul,64,5.90
8.219.182.16,443,true,SIN,Asia Pacific,Singapore,70,5.88
8.219.140.227,443,true,SIN,Asia Pacific,Singapore,63,5.86
8.219.197.166,443,true,SIN,Asia Pacific,Singapore,58,5.85
8.219.191.67,443,true,SIN,Asia Pacific,Singapore,66,5.79
8.219.136.181,443,true,SIN,Asia Pacific,Singapore,74,5.77
8.219.131.227,443,true,SIN,Asia Pacific,Singapore,63,5.77
8.219.142.90,443,true,SIN,Asia Pacific,Singapore,69,5.71
8.219.212.96,443,true,SIN,Asia Pacific,Singapore,72,5.67
8.219.232.66,443,true,SIN,Asia Pacific,Singapore,59,5.66
8.219.163.176,443,true,SIN,Asia Pacific,Singapore,71,5.61
217.142.130.228,443,true,ICN,Asia Pacific,Seoul,95,5.58
8.219.143.241,443,true,SIN,Asia Pacific,Singapore,64,5.54
8.219.202.76,443,true,SIN,Asia Pacific,Singapore,64,5.52
8.219.222.2,443,true,SIN,Asia Pacific,Singapore,71,5.48
8.219.129.113,443,true,SIN,Asia Pacific,Singapore,69,5.45
8.219.184.215,443,true,SIN,Asia Pacific,Singapore,73,5.42
8.219.162.13,443,true,SIN,Asia Pacific,Singapore,65,5.41
217.142.141.34,443,true,ICN,Asia Pacific,Seoul,83,5.23
146.235.16.190,443,true,SIN,Asia Pacific,Singapore,96,5.12
64.110.72.120,443,true,ICN,Asia Pacific,Seoul,86,5.10
8.219.143.211,443,true,SIN,Asia Pacific,Singapore,70,5.10
