IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
45.95.173.16,443,true,FRA,Europe,Frankfurt,184,4.31
51.44.108.208,443,true,CDG,Europe,Paris,197,4.08
79.76.121.246,443,true,FRA,Europe,Frankfurt,179,4.03
130.162.32.158,443,true,FRA,Europe,Frankfurt,175,4.00
138.2.165.56,443,true,FRA,Europe,Frankfurt,171,3.85
141.105.70.114,443,true,FRA,Europe,Frankfurt,127,3.73
130.61.69.16,443,true,FRA,Europe,Frankfurt,201,3.72
18.153.94.168,443,true,FRA,Europe,Frankfurt,163,3.72
45.95.174.47,443,true,FRA,Europe,Frankfurt,161,3.67
212.41.15.119,443,true,DME,Europe,Moscow,231,3.51
158.180.38.118,443,true,FRA,Europe,Frankfurt,181,3.45
146.185.218.33,443,true,CDG,Europe,Paris,162,3.42
51.44.108.164,443,true,CDG,Europe,Paris,173,3.32
138.2.138.103,443,true,FRA,Europe,Frankfurt,175,3.26
79.72.78.159,443,true,FRA,Europe,Frankfurt,192,3.24
158.180.15.43,443,true,FRA,Europe,Frankfurt,204,3.20
51.44.86.78,443,true,CDG,Europe,Paris,167,3.19
130.162.253.169,443,true,FRA,Europe,Frankfurt,174,3.16
89.168.111.188,443,true,FRA,Europe,Frankfurt,170,3.14
79.76.117.49,443,true,FRA,Europe,Frankfurt,166,3.13
158.180.41.122,443,true,FRA,Europe,Frankfurt,195,3.12
193.123.32.161,443,true,FRA,Europe,Frankfurt,184,3.10
89.168.119.30,443,true,FRA,Europe,Frankfurt,200,3.10
89.168.78.196,443,true,FRA,Europe,Frankfurt,173,3.09
89.168.114.23,443,true,FRA,Europe,Frankfurt,188,3.04
141.144.195.193,443,true,FRA,Europe,Frankfurt,206,3.03
138.2.164.107,443,true,FRA,Europe,Frankfurt,170,3.02
138.3.254.39,443,true,FRA,Europe,Frankfurt,174,3.02
79.72.92.250,443,true,FRA,Europe,Frankfurt,197,3.02
130.61.133.129,443,true,FRA,Europe,Frankfurt,166,3.02
138.3.248.118,443,true,FRA,Europe,Frankfurt,192,3.00
89.168.74.114,443,true,FRA,Europe,Frankfurt,167,3.00
130.162.182.187,443,true,FRA,Europe,Frankfurt,233,2.99
158.101.214.48,443,true,FRA,Europe,Frankfurt,186,2.97
193.123.179.234,443,true,FRA,Europe,Frankfurt,194,2.97
141.144.197.111,443,true,AMS,Europe,Amsterdam,178,2.94
138.3.251.17,443,true,FRA,Europe,Frankfurt,179,2.91
193.123.185.139,443,true,FRA,Europe,Frankfurt,217,2.89
141.147.81.66,443,true,FRA,Europe,Frankfurt,217,2.88
158.180.35.20,443,true,FRA,Europe,Frankfurt,199,2.88
143.47.186.230,443,true,FRA,Europe,Frankfurt,212,2.87
143.47.185.169,443,true,FRA,Europe,Frankfurt,213,2.87
193.123.39.86,443,true,FRA,Europe,Frankfurt,183,2.86
130.162.52.22,443,true,FRA,Europe,Frankfurt,191,2.86
129.159.194.238,443,true,FRA,Europe,Frankfurt,198,2.84
130.162.178.228,443,true,FRA,Europe,Frankfurt,203,2.84
130.162.160.155,443,true,FRA,Europe,Frankfurt,170,2.84
84.235.175.21,443,true,FRA,Europe,Frankfurt,210,2.81
84.235.175.145,443,true,FRA,Europe,Frankfurt,175,2.81
130.162.49.218,443,true,FRA,Europe,Frankfurt,199,2.80
84.235.174.138,443,true,FRA,Europe,Frankfurt,189,2.77
194.5.97.156,443,true,AMS,Europe,Amsterdam,166,2.73
158.180.24.21,443,true,FRA,Europe,Frankfurt,184,2.72
158.178.152.155,443,true,FRA,Europe,Frankfurt,181,2.72
158.101.205.81,443,true,FRA,Europe,Frankfurt,191,2.72
144.21.32.209,443,true,FRA,Europe,Frankfurt,186,2.69
141.144.195.117,443,true,FRA,Europe,Frankfurt,173,2.67
130.162.247.219,443,true,FRA,Europe,Frankfurt,174,2.67
130.162.187.56,443,true,FRA,Europe,Frankfurt,207,2.65
130.162.172.209,443,true,FRA,Europe,Frankfurt,216,2.64
84.8.145.158,443,true,FRA,Europe,Frankfurt,197,2.57
89.168.123.73,443,true,FRA,Europe,Frankfurt,195,2.53
158.101.209.76,443,true,AMS,Europe,Amsterdam,200,2.52
158.178.192.221,443,true,CDG,Europe,Paris,210,2.51
130.162.249.71,443,true,FRA,Europe,Frankfurt,179,2.50
