IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
38.47.117.85,443,true,LAX,North America,Los Angeles,135,5.03
5.10.247.69,443,true,LAX,North America,Los Angeles,187,4.97
5.10.247.112,443,true,LAX,North America,Los Angeles,179,4.88
5.10.244.212,443,true,LAX,North America,Los Angeles,171,4.85
45.131.210.219,443,true,LAX,North America,Los Angeles,185,4.83
5.10.244.58,443,true,LAX,North America,Los Angeles,169,4.72
5.10.244.161,443,true,LAX,North America,Los Angeles,177,4.69
5.10.244.241,443,true,LAX,North America,Los Angeles,174,4.69
130.250.137.141,443,true,LAX,North America,Los Angeles,180,4.68
45.131.210.8,443,true,LAX,North America,Los Angeles,184,4.68
5.10.245.236,443,true,LAX,North America,Los Angeles,231,4.65
5.10.244.165,443,true,LAX,North America,Los Angeles,165,4.65
45.131.210.24,443,true,LAX,North America,Los Angeles,169,4.63
45.131.208.41,443,true,LAX,North America,Los Angeles,188,4.58
5.10.247.146,443,true,LAX,North America,Los Angeles,175,4.57
45.131.211.204,443,true,LAX,North America,Los Angeles,167,4.55
5.10.245.21,443,true,LAX,North America,Los Angeles,196,4.54
45.131.209.23,443,true,LAX,North America,Los Angeles,167,4.53
45.131.209.65,443,true,LAX,North America,Los Angeles,170,4.53
45.131.209.190,443,true,LAX,North America,Los Angeles,248,4.53
5.10.244.240,443,true,LAX,North America,Los Angeles,188,4.50
5.10.247.98,443,true,LAX,North America,Los Angeles,178,4.49
38.47.117.77,443,true,LAX,North America,Los Angeles,136,4.48
5.10.245.170,443,true,LAX,North America,Los Angeles,174,4.46
5.10.246.191,443,true,LAX,North America,Los Angeles,168,4.46
45.131.209.13,443,true,LAX,North America,Los Angeles,187,4.46
5.10.244.223,443,true,LAX,North America,Los Angeles,191,4.44
5.10.245.224,443,true,LAX,North America,Los Angeles,172,4.43
5.10.244.89,443,true,LAX,North America,Los Angeles,179,4.43
5.10.247.87,443,true,LAX,North America,Los Angeles,186,4.42
31.12.75.162,443,true,LAX,North America,Los Angeles,180,4.42
45.131.209.148,443,true,LAX,North America,Los Angeles,181,4.41
45.131.208.247,443,true,LAX,North America,Los Angeles,170,4.40
45.131.209.64,443,true,LAX,North America,Los Angeles,188,4.39
5.10.244.118,443,true,LAX,North America,Los Angeles,185,4.39
45.131.210.54,443,true,LAX,North America,Los Angeles,183,4.38
45.131.208.254,443,true,LAX,North America,Los Angeles,186,4.38
45.131.208.44,443,true,LAX,North America,Los Angeles,170,4.38
45.131.208.229,443,true,LAX,North America,Los Angeles,173,4.36
45.131.209.179,443,true,LAX,North America,Los Angeles,174,4.36
45.131.208.215,443,true,LAX,North America,Los Angeles,178,4.35
45.131.209.5,443,true,LAX,North America,Los Angeles,1258,4.34
5.10.245.203,443,true,LAX,North America,Los Angeles,184,4.34
45.131.210.239,443,true,LAX,North America,Los Angeles,182,4.34
31.12.75.157,443,true,LAX,North America,Los Angeles,181,4.32
5.10.247.67,443,true,LAX,North America,Los Angeles,182,4.31
5.10.247.240,443,true,LAX,North America,Los Angeles,1274,4.31
5.10.247.74,443,true,LAX,North America,Los Angeles,168,4.31
45.131.209.31,443,true,LAX,North America,Los Angeles,195,4.30
5.10.247.136,443,true,LAX,North America,Los Angeles,170,4.28
45.131.210.22,443,true,LAX,North America,Los Angeles,171,4.28
5.10.245.120,443,true,LAX,North America,Los Angeles,172,4.27
5.10.245.42,443,true,LAX,North America,Los Angeles,170,4.27
5.10.244.151,443,true,LAX,North America,Los Angeles,176,4.27
45.131.209.231,443,true,LAX,North America,Los Angeles,185,4.24
45.131.208.16,443,true,LAX,North America,Los Angeles,173,4.24
5.10.244.225,443,true,LAX,North America,Los Angeles,183,4.24
5.10.244.251,443,true,LAX,North America,Los Angeles,183,4.23
5.10.246.9,443,true,LAX,North America,Los Angeles,184,4.23
45.131.209.251,443,true,LAX,North America,Los Angeles,183,4.23
31.12.75.92,443,true,LAX,North America,Los Angeles,173,4.23
45.131.209.176,443,true,LAX,North America,Los Angeles,172,4.22
45.131.209.237,443,true,LAX,North America,Los Angeles,183,4.22
45.131.208.2,443,true,LAX,North America,Los Angeles,166,4.22
45.131.209.8,443,true,LAX,North America,Los Angeles,181,4.22
45.131.210.39,443,true,LAX,North America,Los Angeles,183,4.21
44.31.62.2,443,true,SJC,North America,San Jose,147,4.20
5.10.244.178,443,true,LAX,North America,Los Angeles,171,4.17
5.10.244.236,443,true,LAX,North America,Los Angeles,175,4.17
5.10.245.110,443,true,LAX,North America,Los Angeles,175,4.16
45.131.209.183,443,true,LAX,North America,Los Angeles,178,4.15
45.131.210.248,443,true,LAX,North America,Los Angeles,185,4.15
45.131.210.33,443,true,LAX,North America,Los Angeles,172,4.15
5.10.244.189,443,true,LAX,North America,Los Angeles,262,4.15
5.10.247.92,443,true,LAX,North America,Los Angeles,212,4.15
45.131.211.43,443,true,LAX,North America,Los Angeles,186,4.14
45.131.211.195,443,true,LAX,North America,Los Angeles,253,4.14
31.12.75.225,443,true,LAX,North America,Los Angeles,193,4.14
31.12.75.9,443,true,LAX,North America,Los Angeles,179,4.14
45.131.209.240,443,true,LAX,North America,Los Angeles,176,4.13
45.131.208.22,443,true,LAX,North America,Los Angeles,179,4.13
5.10.247.144,443,true,LAX,North America,Los Angeles,178,4.12
45.131.211.210,443,true,LAX,North America,Los Angeles,181,4.12
5.10.246.14,443,true,LAX,North America,Los Angeles,191,4.11
31.12.75.41,443,true,LAX,North America,Los Angeles,183,4.10
5.10.245.92,443,true,LAX,North America,Los Angeles,177,4.09
5.10.245.198,443,true,LAX,North America,Los Angeles,185,4.08
5.10.246.54,443,true,LAX,North America,Los Angeles,174,4.08
130.250.137.239,443,true,LAX,North America,Los Angeles,176,4.08
5.10.244.182,443,true,LAX,North America,Los Angeles,184,4.07
45.131.209.18,443,true,LAX,North America,Los Angeles,192,4.07
5.10.244.16,443,true,LAX,North America,Los Angeles,174,4.07
5.10.244.233,443,true,LAX,North America,Los Angeles,175,4.07
5.10.244.112,443,true,LAX,North America,Los Angeles,186,4.07
5.10.246.78,443,true,LAX,North America,Los Angeles,176,4.06
108.162.194.51,443,true,LAX,North America,Los Angeles,180,4.06
5.10.244.73,443,true,LAX,North America,Los Angeles,174,4.05
45.131.208.224,443,true,LAX,North America,Los Angeles,191,4.05
31.12.75.22,443,true,LAX,North America,Los Angeles,180,4.05
45.131.208.23,443,true,LAX,North America,Los Angeles,182,4.05
45.131.210.68,443,true,LAX,North America,Los Angeles,171,4.04
5.10.244.244,443,true,LAX,North America,Los Angeles,187,4.04
45.131.211.109,443,true,LAX,North America,Los Angeles,186,4.04
45.131.211.112,443,true,LAX,North America,Los Angeles,178,4.04
5.10.247.117,443,true,LAX,North America,Los Angeles,180,4.03
5.10.246.203,443,true,LAX,North America,Los Angeles,1273,4.03
5.10.244.243,443,true,LAX,North America,Los Angeles,186,4.03
45.131.211.9,443,true,LAX,North America,Los Angeles,185,4.01
5.10.244.136,443,true,LAX,North America,Los Angeles,167,4.00
5.10.246.164,443,true,LAX,North America,Los Angeles,179,4.00
45.131.210.165,443,true,LAX,North America,Los Angeles,187,4.00
45.131.209.99,443,true,LAX,North America,Los Angeles,173,3.99
108.162.194.181,443,true,LAX,North America,Los Angeles,171,3.99
5.10.245.72,443,true,LAX,North America,Los Angeles,181,3.99
45.131.210.6,443,true,LAX,North America,Los Angeles,174,3.98
45.131.210.204,443,true,LAX,North America,Los Angeles,175,3.98
31.12.75.183,443,true,LAX,North America,Los Angeles,181,3.98
45.131.210.254,443,true,LAX,North America,Los Angeles,186,3.98
45.131.210.243,443,true,LAX,North America,Los Angeles,190,3.98
45.131.209.247,443,true,LAX,North America,Los Angeles,180,3.97
45.131.209.87,443,true,LAX,North America,Los Angeles,179,3.97
5.10.245.96,443,true,LAX,North America,Los Angeles,175,3.97
